,주차장명,정보,전체주차면수,주차가능면,주차비율
3,건국대학교병원 주차장,전체주차면 : 659면 | 주차가능면 : 129면,659.0,129.0,80.42488619119878
4,건국대학교사범대학부속중학교 주차장,전체주차면 : 100면 | 주차가능면 : 10면,100.0,10.0,90.0
15,뚝섬1주차장[윈드서핑장 앞],전체주차면 : 67면 | 주차가능면 : 39면,67.0,39.0,41.7910447761194
16,뚝섬2주차장[안내센터 앞],전체주차면 : 356면 | 주차가능면 : 247면,356.0,247.0,30.61797752808989
17,뚝섬3주차장[수영장 앞],전체주차면 : 112면 | 주차가능면 : 75면,112.0,75.0,33.035714285714285
18,뚝섬4주차장[청담대교 하부],전체주차면 : 136면 | 주차가능면 : 46면,136.0,46.0,66.17647058823529
19,래미안프리미어팰리스 주차장,전체주차면 : 129면 | 주차가능면 : 129면,129.0,129.0,0.0
24,보건복지행정타운,전체주차면 : 391면 | 주차가능면 : 0면,391.0,0.0,100.0
28,성진강변스파랜드,전체주차면 : 139면 | 주차가능면 : 7면,139.0,7.0,94.96402877697841
29,스테이더디자이너스군자오피스텔 주차장,전체주차면 : 100면 | 주차가능면 : 24면,100.0,24.0,76.0
31,실로암사우나 중곡점 주차장,전체주차면 : 65면 | 주차가능면 : 19면,65.0,19.0,70.76923076923077
35,연한빌딩,전체주차면 : 47면 | 주차가능면 : 30면,47.0,30.0,36.17021276595745
36,와이엠프라젠스파,전체주차면 : 201면 | 주차가능면 : 200면,201.0,200.0,0.4975124378109453
44,편안한요양병원[광진자양점],전체주차면 : 65면 | 주차가능면 : 26면,65.0,26.0,60.0
