,주차장명,정보,전체주차면수,주차가능면,주차비율
3,건국대학교병원 주차장,전체주차면 : 659면 | 주차가능면 : 104면,659.0,104.0,84.2185128983308
4,건국대학교사범대학부속중학교 주차장,전체주차면 : 100면 | 주차가능면 : 10면,100.0,10.0,90.0
15,뚝섬1주차장[윈드서핑장 앞],전체주차면 : 67면 | 주차가능면 : 25면,67.0,25.0,62.68656716417911
16,뚝섬2주차장[안내센터 앞],전체주차면 : 356면 | 주차가능면 : 223면,356.0,223.0,37.359550561797754
17,뚝섬3주차장[수영장 앞],전체주차면 : 112면 | 주차가능면 : 33면,112.0,33.0,70.53571428571429
18,뚝섬4주차장[청담대교 하부],전체주차면 : 136면 | 주차가능면 : 6면,136.0,6.0,95.58823529411765
19,래미안프리미어팰리스 주차장,전체주차면 : 129면 | 주차가능면 : 129면,129.0,129.0,0.0
24,보건복지행정타운,전체주차면 : 391면 | 주차가능면 : 0면,391.0,0.0,100.0
28,성진강변스파랜드,전체주차면 : 139면 | 주차가능면 : 7면,139.0,7.0,94.96402877697841
29,스테이더디자이너스군자오피스텔 주차장,전체주차면 : 100면 | 주차가능면 : 24면,100.0,24.0,76.0
31,실로암사우나 중곡점 주차장,전체주차면 : 65면 | 주차가능면 : 16면,65.0,16.0,75.38461538461539
35,연한빌딩,전체주차면 : 47면 | 주차가능면 : 28면,47.0,28.0,40.42553191489361
36,와이엠프라젠스파,전체주차면 : 201면 | 주차가능면 : 180면,201.0,180.0,10.44776119402985
44,편안한요양병원[광진자양점],전체주차면 : 65면 | 주차가능면 : 30면,65.0,30.0,53.84615384615385
